"lake","replicate","positive"
"Lake_A",1,1
"Lake_A",2,1
"Lake_A",3,0
"Lake_A",4,0
"Lake_A",5,1
"Lake_B",1,1
"Lake_B",2,1
"Lake_B",3,1
"Lake_B",4,0
"Lake_C",1,0
"Lake_C",2,0
"Lake_C",3,0
"Lake_D",1,1
"Lake_D",2,1
"Lake_D",3,1
"Lake_D",4,1
"Lake_D",5,1
"Lake_E",1,0
"Lake_E",2,0
"Lake_E",3,0
"Lake_E",4,0
"Lake_E",5,0
"Lake_E",6,0
"Lake_F",1,0
"Lake_F",2,0
"Lake_F",3,1
"Lake_F",4,0
"Lake_F",5,0
"Lake_G",1,0
"Lake_G",2,1
"Lake_G",3,0
"Lake_G",4,0
"Lake_G",5,0
"Lake_G",6,0
"Lake_H",1,0
"Lake_H",2,0
"Lake_H",3,0
"Lake_H",4,0
"Lake_I",1,0
"Lake_I",2,0
"Lake_I",3,1
"Lake_I",4,0
"Lake_I",5,0
"Lake_J",1,0
"Lake_J",2,0
"Lake_J",3,0
"Lake_J",4,0
"Lake_K",1,0
"Lake_K",2,0
"Lake_K",3,0
"Lake_L",1,0
"Lake_L",2,0
"Lake_L",3,0
"Lake_L",4,0
