"fertilizer","group","carbon","n.input","emission","reps","group.index","fert.index"
"A",14,2.7,180,0.62,13,10,2
"A",14,4.6,180,0.45,13,10,2
"A",11,0.9,112,0.23,12,7,2
"A",38,0.5,100,0.153,14,29,2
"A",1,4,250,1,6,1,2
"A",38,0.5,100,0.216,14,29,2
"A",11,0.9,112,0.24,12,7,2
"A",11,0.9,112,0.89,12,7,2
"A",11,0.9,117,0.56,12,7,2
"A",11,0.9,82,0.1,12,7,2
"A",13,3.8,112,2.1,14,9,2
"A",13,3.8,112,2.39,14,9,2
"A",13,3.8,150,2.58,14,9,2
"A",13,3.8,225,2.82,14,9,2
"A",1,4,250,0.375,6,1,2
"A",13,3.8,225,3.25,14,9,2
"A",1,4,250,7,6,1,2
"A",11,0.9,52,0.35,12,7,2
"A",153,1.47,160,0.951,6,103,2
"A",101,2.5,200,0.597,3,69,2
"A",12,4.9,250,0.613,7,8,2
"A",38,2,100,0.07,14,29,2
"A",14,2.5,180,0.86,13,10,2
"A",14,4.6,180,1.92,13,10,2
"A",153,1.47,160,1.082,6,103,2
"A",14,2.5,180,4.4,13,10,2
"A",15,3.7,180,0.55,6,11,2
"A",15,3.7,180,1.37,6,11,2
"A",14,2.7,180,2.17,13,10,2
"A",15,3.7,180,3.62,6,11,2
"A",101,2.5,200,0.338,3,69,2
"A",16,4.6,250,15,6,12,2
"A",16,2.7,250,19.6,6,12,2
"A",38,2.6,100,0.065,14,29,2
"A",69,1.7,112,0.13,12,49,2
"A",38,2,100,0.078,14,29,2
"A",38,2.6,100,0.376,14,29,2
"A",11,0.9,363,1.37,12,7,2
"A",71,1.15,280,0.9,10,50,2
"A",124,2.3,100,0.05,6,86,2
"A",124,0.8,100,0.09,6,86,2
"A",13,3.8,450,4.54,14,9,2
"A",12,4.9,125,0.557,7,8,2
"A",83,3.5,110,0.53,10,57,2
"A",13,3.8,75,1.67,14,9,2
"A",13,3.8,112,1.52,14,9,2
"A",20,1.7,200,0.229,12,14,2
"A",161,0.9,300,0.9811,5,107,2
"A",69,1.7,112,0.15,12,49,2
"A",69,1.7,112,0.6,12,49,2
"A",13,3.8,225,3.17,14,9,2
"A",30,2.75,360,1.28,13,23,2
"A",149,3.7,100,1.5,1,101,2
"A",13,3.8,225,3.44,14,9,2
"A",15,3.7,180,1.74,6,11,2
"A",13,3.8,375,4.26,14,9,2
"A",67,0.85,52,0.35,3,48,2
"A",22,1.85,100,0.175,5,16,2
"A",22,1.85,300,0.997,5,16,2
"A",38,0.8,100,0.053,14,29,2
"A",69,1.7,82,0.09,12,49,2
"A",95,2.7,360,1.3,8,66,2
"A",66,1.9,100,0.1745,14,47,2
"A",59,1.48,168,0.291,1,42,2
"A",104,2.1,300,4.012,6,71,2
"A",104,2.8,300,11.4,6,71,2
"A",16,2.5,250,12.1,6,12,2
"A",66,1.9,300,0.9811,14,47,2
"A",67,0.85,52,0.15,3,48,2
"A",83,3.5,40,0.31,10,57,2
"A",95,2.7,360,0.75,8,66,2
"A",38,2.6,100,0.025,14,29,2
"A",20,1.7,120,0.097,12,14,2
"A",161,0.9,100,0.1745,5,107,2
"A",108,2.1,100,1.57,14,75,2
"A",108,2.1,100,7.19,14,75,2
"A",69,1.7,117,0.48,12,49,2
"A",108,2.1,300,2.54,14,75,2
"A",13,3.8,300,3.75,14,9,2
"A",106,0.65,200,2.5,1,73,2
"A",72,19,280,11,1,51,2
"A",83,3.02,40,0.19,10,57,2
"A",104,3.7,300,3.84,6,71,2
"A",30,2.75,360,0.69,13,23,2
"A",83,3.02,110,0.56,10,57,2
"A",69,1.7,52,0.35,12,49,2
"A",105,1.8,200,2.95,4,72,2
"A",105,1.8,200,0.76,4,72,2
"A",108,2.1,150,0.938,14,75,2
"A",145,2.7,80,0.16,29,98,2
"A",145,2.7,80,0.8,29,98,2
"A",69,1.7,363,1.2,12,49,2
"A",145,2.7,80,1.3,29,98,2
"A",133,1,45.3,0.3603,3,94,2
"A",145,2.7,80,1.09,29,98,2
"AM",82,1.2,270,11.9,17,56,8
"AM",82,1.2,270,13.8,17,56,8
"AM",82,1.2,270,7.3,17,56,8
"AM",82,1.9,150,4.8,17,56,8
"AM",53,1.5,190,16.8,4,38,8
"AM",53,1.31,190,9.6,4,38,8
"AM",103,1.21,333,2.1,3,70,8
"AM",103,1.28,93,5.3,3,70,8
"AM",57,2.31,245,0.3,17,40,8
"AM",57,2.72,410,1.2,17,40,8
"AM",30,2.75,275,6.4,13,23,8
"AM",30,2.75,275,0.48,13,23,8
"AM",57,2.72,410,2.7,17,40,8
"AM",103,1.65,92,1.5,3,70,8
"AM",58,4.16,248,18.16,9,41,8
"AM",57,2.72,410,6.1,17,40,8
"AM",58,2.05,506,13.65,9,41,8
"AM",25,0.12,181,3.6,3,19,8
"AM",57,2.31,245,3.2,17,40,8
"AM",58,2.89,278,2.55,9,41,8
"AM",58,2.05,278,31.73,9,41,8
"AN",131,2.7,100,4.4,12,92,4
"AN",21,4,70,0.5,8,15,4
"AN",21,7.8,140,8.6,8,15,4
"AN",57,1.61,80,1,17,40,4
"AN",21,7.8,140,5.6,8,15,4
"AN",5,2.2,210,0.0128,8,4,4
"AN",78,6.6,80,1.2,8,54,4
"AN",131,2.6,100,3.7,12,92,4
"AN",57,1.81,200,6.3,17,40,4
"AN",5,1.65,285,0.004,8,4,4
"AN",89,3,180,3.33,3,61,4
"AN",21,6.3,70,0.9,8,15,4
"AN",4,3.9,240,0.68,4,3,4
"AN",129,5,208,8,7,90,4
"AN",42,1,132,0.7,12,31,4
"AN",42,2.5,260,3,12,31,4
"AN",21,4.2,140,2.1,8,15,4
"AN",37,3.7,70,1.3,3,28,4
"AN",21,4.2,140,1,8,15,4
"AN",131,2.7,100,3.7,12,92,4
"AN",5,1.65,285,0.0088,8,4,4
"AN",90,3.81,50,0.048,9,62,4
"AN",57,1.81,200,0.3,17,40,4
"AN",50,3.1,60,0.046,4,35,4
"AN",57,1.56,80,0.9,17,40,4
"AN",131,2.6,250,1.5,12,92,4
"AN",131,2.6,250,1.8,12,92,4
"AN",129,5.2,290,5.1,7,90,4
"AN",84,2.9,270,7.8,6,58,4
"AN",5,1.65,210,0.0088,8,4,4
"AN",145,2.7,880,4.85,29,98,4
"AN",107,0.85,112,0.99,7,74,4
"AN",131,2.6,100,7.4,12,92,4
"AN",147,3.7,100,0.585,18,99,4
"AN",57,1.56,80,0.2,17,40,4
"AN",21,4,70,1.5,8,15,4
"AN",42,3,130,4.7,12,31,4
"AN",82,1.43,60,5.2,17,56,4
"AN",95,2.7,360,1.7,8,66,4
"AN",63,1.1,170,1.306,7,44,4
"AN",131,2.7,250,3.8,12,92,4
"AN",5,1.65,210,0.0088,8,4,4
"AN",82,1.2,170,5.5,17,56,4
"AN",84,2.9,280,5.3,6,58,4
"AN",84,2.9,310,3.5,6,58,4
"AN",42,2.5,387,1.7,12,31,4
"AN",57,1.74,200,0.6,17,40,4
"AN",57,1.74,200,3.5,17,40,4
"AN",42,2.5,190,1.2,12,31,4
"AN",73,1.2,120,0.498,3,52,4
"AN",42,1,165,2.4,12,31,4
"AN",129,2.7,140,1.35,7,90,4
"AN",78,6.6,80,0.84,8,54,4
"AN",35,4,149,1.66,2,26,4
"AN",4,3.9,360,0.98,4,3,4
"AN",30,2.75,360,1.5,13,23,4
"AN",129,2.7,120,0.8,7,90,4
"AN",129,2.8,180,0.3,7,90,4
