"grid_id","transect","scats"
"C001","North",17
"C002","Central",2
"C003","South",12
"C004","North",10
"C005","Central",1
"C006","South",9
"C007","North",4
"C008","Central",19
"C009","South",0
"C010","North",1
"C011","Central",4
"C012","South",0
"C013","North",0
"C014","Central",1
"C015","South",7
"C016","North",5
"C017","Central",1
"C018","South",3
"C019","North",5
"C020","Central",4
"C021","South",2
"C022","North",12
"C023","Central",30
"C024","South",2
"C025","North",8
"C026","Central",0
"C027","South",3
"C028","North",0
"C029","Central",2
"C030","South",5
"C031","North",4
"C032","Central",0
"C033","South",5
"C034","North",2
"C035","Central",2
"C036","South",3
"C037","North",0
"C038","Central",5
"C039","South",0
"C040","North",0
"C041","Central",4
"C042","South",1
"C043","North",0
"C044","Central",1
"C045","South",4
"C046","North",8
"C047","Central",0
"C048","South",3
"C049","North",0
"C050","Central",10
"C051","South",0
"C052","North",3
"C053","Central",2
"C054","South",7
"C055","North",12
"C056","Central",5
"C057","South",1
"C058","North",15
"C059","Central",8
"C060","South",0
"C061","North",1
"C062","Central",3
"C063","South",27
"C064","North",0
"C065","Central",1
"C066","South",8
"C067","North",5
"C068","Central",1
"C069","South",2
"C070","North",3
"C071","Central",6
"C072","South",2
"C073","North",0
"C074","Central",3
"C075","South",9
"C076","North",3
"C077","Central",0
"C078","South",16
"C079","North",0
"C080","Central",15
"C081","South",0
"C082","North",13
"C083","Central",14
"C084","South",2
"C085","North",0
"C086","Central",1
"C087","South",0
"C088","North",0
"C089","Central",2
"C090","South",7
"C091","North",1
"C092","Central",1
"C093","South",6
"C094","North",1
"C095","Central",0
"C096","South",4
"C097","North",1
"C098","Central",1
"C099","South",6
"C100","North",2
"C101","Central",4
"C102","South",3
"C103","North",8
"C104","Central",5
"C105","South",1
"C106","North",0
"C107","Central",1
"C108","South",6
"C109","North",1
"C110","Central",0
"C111","South",0
"C112","North",3
"C113","Central",0
"C114","South",0
"C115","North",0
"C116","Central",0
"C117","South",0
"C118","North",1
"C119","Central",0
"C120","South",7
